Store_Code,StateName,City,Store_Name,Store_Address,Pincode,Mobile,Delivery By
135,Andhra Pradesh,Vizianagaram,Pushpagiri Eye Hospital - Vizianagaram,"Ben Franklin Opticians, Pushpagiri Eye Hospital, Survey No 521, TTD Kalyanamandapam Premises, Alaknagar, Vizianagaram, Andhra Pradesh, India. Phone : 08922–229447, Mobile : +91–9581775010.",229447,9581775010,Bluedart
1174,Arunachal Pradesh,Roing,P And P Eye Care Optical - Roing,"ben franklin opticians, P & P Eye Care Optical, Lower Market, Near Punjub National Bank, Roing, Lower Dibang Valley (District), Arunachal Pradesh",,,Bluedart
1113,Arunachal Pradesh,Tripura,Local FC - At Store Ils Hospitals - Agartala,"ben franklin opticians, Ils Hospitals, GPT Healthcare Limited, Capital Copmplex Extension, Newsecretariat(PO), Agartala, Tripura, 799010, Contact Number - 9154371504",799010,9154371504,Bluedart
1093,Arunachal Pradesh,Tripura,Local FC - At Store Sanggo Eye Care - Naharlagun,"ben franklin opticians, Sanggo Eye Care, Near Trihms MedicaL College and Hospital, E Sector, Naharlagun, Dist Papum Pare, Arunachal Pradesh, 791110, Contact Number - 7032898251",791110,7032898251,Bluedart
1280,Assam,Barpeta,Local FC - At Store Chilarai Eye Hospital - Dhubri,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
955,Assam,Barpeta,Local FC - At Store Sankaradeva - VC02 - Bongaigaon,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
956,Assam,Barpeta,Local FC - At Store Sankaradeva - VC03 - Goalpara,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
989,Assam,Barpeta,Local FC - At Store Sankaradeva - VC11 - Barpeta,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
990,Assam,Barpeta,Local FC - At Store Sankaradeva - VC12 - Pathsala,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
1258,Assam,Barpeta,Local FC - At Store Sankaradeva - VC17 - Barpeta Road,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, B B Road, Barpeta Town, PO&PS Barpeta, Assam, 781301, Contact Number - 8121022819 (BULK)",781301,8121022819,Bluedart
1333,Assam,Dibrugarh,Local FC - At Store Renu Eye Care Centre - Dibrugarh,"ben franklin opticians, Renu Eye Care Centre, Dibrugarh Graham Bazar, Tinkunia, At Road, Dibrugarh, Assam,786001, Contact Number - 9032908811 (BULK)",786001,9032908811,Bluedart
1334,Assam,Dibrugarh,Local FC - At Store Sharma Eye Care - Dibrugarh,"ben franklin opticians, Renu Eye Care Centre, Dibrugarh Graham Bazar, Tinkunia, At Road, Dibrugarh, Assam,786001, Contact Number - 9032908811 (BULK)",786001,9032908811,Bluedart
1202,Assam,Guwahati,Guwahati FC-77 Siu Ka Pha Hospital - Sibsagar,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
1267,Assam,Guwahati,Guwahati FC-77 Choudhury Eye Hospital - Karimganj,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
1050,Assam,Guwahati,Guwahati FC-77 Khan Optical Sanjivani Hospital - Dibrugarh,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
1241,Assam,Guwahati,Guwahati FC-77 Priti Eye Centre - Silchar,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
954,Assam,Guwahati,Guwahati FC-77 Sankaradeva - VC01 - Sonapur,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
957,Assam,Guwahati,Guwahati FC-77 Sankaradeva - VC04 - Bijaynagar,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
963,Assam,Guwahati,Guwahati FC-77 Sankaradeva - VC10 - Udalguri,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
991,Assam,Guwahati,Guwahati FC-77 Sankaradeva - VC13 - Dhekiajuli,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
712,Assam,Guwahati,Guwahati FC-77 Sri Sankaradeva Nethralaya - Guwahati,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
716,Assam,Guwahati,Guwahati FC-77 Sri Sankaradeva Nethralaya2 - Guwahati,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
717,Assam,Guwahati,Guwahati FC-77 Sri Sankaradeva Nethralaya3 - Guwahati,"ben franklin opticians, Sri Sankardeva Netralaya, 96 - Basistha Rd, Beltola Tiniali, Saurabh Nagar, Beltola, Guwahati, Assam. 781028, Contact Number - 9100657834 (BULK)",781028,9100657834,Verma
960,Assam,Hajo,Local FC - At Store Sankaradeva - VC07 - Hajo,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Hajo Guwahati Road, Opposite Hajo Circle Office, Assam,781102, Contact Number - 8121009835 (BULK)",781102,8121009835,Bluedart
1007,Assam,Hajo,Local FC - At Store Sankaradeva - VC14 - Nalbari,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Hajo Guwahati Road, Opposite Hajo Circle Office, Assam,781102, Contact Number - 8121009835 (BULK)",781102,8121009835,Bluedart
1112,Assam,Hajo,Local FC - At Store Sankaradeva - VC15 - Boko,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Hajo Guwahati Road, Opposite Hajo Circle Office, Assam,781102, Contact Number - 8121009835 (BULK)",781102,8121009835,Bluedart
958,Assam,Mangalodoi,Local FC - At Store Sankaradeva - VC05 - Mangaldoi,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Shiv Mandir Path, Bhebarghat, Mangaldoi, Assam. 784125, Contact Number - 8121009830",784125,8121009830,Bluedart
961,Assam,Naogoan,Local FC - At Store Sankaradeva - VC08 - Marigaon,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Khristianpati, Naogaon, Assam, 782001, Contact Number - 8121009846 (BULK)",782001,8121009846,Bluedart
962,Assam,Naogoan,Local FC - At Store Sankaradeva - VC09 - Khristianpati,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Khristianpati, Naogaon, Assam, 782001, Contact Number - 8121009846 (BULK)",782001,8121009846,Bluedart
1259,Assam,Naogoan,Local FC - At Store Sankaradeva - VC18 - Hojai,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Khristianpati, Naogaon, Assam, 782001, Contact Number - 8121009846 (BULK)",782001,8121009846,Bluedart
1268,Assam,Naogoan,Local FC - At Store Sankaradeva - VC19 - Moirabari,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Khristianpati, Naogaon, Assam, 782001, Contact Number - 8121009846 (BULK)",782001,8121009846,Bluedart
1296,Assam,Naogoan,Local FC - At Store Sankaradeva - VC20 - Kampur,"ben franklin opticians, Sri Sankaradeva Nethralaya Vision Center, Khristianpati, Naogaon, Assam, 782001, Contact Number - 8121009846 (BULK)",782001,8121009846,Bluedart
1198,Assam,Tezpur,Local FC - At Store Sankaradeva - VC16 - Tezpur,"ben franklin opticians, Barua chuburi Near New ISBT, Majgaon Village, Mouja Bhaurab Par Dhanua Nagar, Mazgaon Road, Assam, 784001, Contact Number - 9154798470",784001,9154798470,Bluedart
605,BIHAR,ARRAH,Laxmi Netralaya - Arrah,DR. SK KEDIA BEN FRANKLIN OPTICIAN LAXMI NETRALAYA MAHAVIR TOLA ARRAH-802301 MOB-9100919734,802301,9100919734,DTDC
1273,Bihar,Arrah,Rudraksh Netralaya - Arrah,"ben franklin opticians, Rudraksh Netralaya, Girja More, Arrah, Bihar, India",,,DTDC
1272,BIHAR,Begusarai,Shivayu Superspeciality,"Ben franklin opticians, Shivayu Superspeciality Eye hospital , Milan Chowk Bagha , Begusarai Bihar - 851218 Mob:- 8294724402",851218,8294724402,DTDC
979,BIHAR,Bettiah,Suresh Prasad Hospital,"Ben franklin opticians, Dr. Suresh Prasad Eye Ent And Dental Hospital, Station Road, Bypass Rd, Kamalnath Nagar, Bettiah, Bihar - 845438.Mobile : +91 - 8121009840",845438,8121009840,DTDC
623,BIHAR,Bihar Sharif,Prasad Netralaya - Bihar Sharif,"Ben Franklin opticians, Prasad Netralaya, Naisarai,Nalanda, Bihar Sharif - 803101, Bihar, Mobile : 7557472617",803101,7557472617,DTDC
1357,Bihar,Bihar Shariff,K.P Memorial Eye Hospital - Bihar Shariff,"ben franklin opticians, K.P Memorial Eye Hospital, Hospital More Rd, Near Devi Asthan, Bhaisasur, Bihar Sharif, Nalanda, Bihar",,,DTDC
1169,BIHAR,Darbhanga,Darbhanga Central Hospital - Darbhanga,"Ben Franklin Opticians,Darbhanga Central Hospital, VIP Rd, Benta, Opp.Benta Petrol Pump, Laheriasarai, Darbhanga, Bihar-846003 Mob: 8712690787",846003,8712690787,DTDC
800,BIHAR,Gaya,Sarvdrishti Eye Hospital,"Ben franklin opticians, Sarvadrishti Eye Hospital pvt ltd, 176, AP Colony Gaya Bihar - 823001 Mob:- 9154229581",823001,9154229581,DTDC
1320,BIHAR,Hazipur,Naina Eye Care Centre,"Ben franklin opticians, Naina Eye care Hospital, Near Axis Bank Subhash Chowk, Hazipur, Vaishali Bihar - 844101 Mob:- 9100715728 / 707912277",844101,9100715728,DTDC
1208,Bihar,Madhepura,Anand Eye Hospital New - Madhepura,"ben franklin, Anand Eye Hospital, West Bypass Road, Near New Bus Sand, Ward No-21, Madhepura, Bihar, Mobile: 9154794305",,9154794305,DTDC
548,BIHAR,Motihari,Major Eye Hospital,"Ben franklin opticians, Major Eye hospital, Near LND College, Hospital road, Motihari Bihar - 845401 Mob:- 9870996910",845401,9870996910,DTDC
538,BIHAR,Muzaffarpur,Sight Care Lasik Centre,"Ben Franklin Opticians, Sightcare lasik centre , Juran chapra, Road no 3 Muzaffarpur Bihar - 842001 Mob:- 9100945039 (BULK)",842001,9100945039,DTDC
1180,BIHAR,Muzaffarpur,Sightcare lasik centre,"Ben Franklin Opticians, Sightcare lasik centre , Juran chapra, Road no 3 Muzaffarpur Bihar - 842001 Mob:- 9100945039 (BULK)",842001,9100945039,DTDC
1192,BIHAR,Muzaffarpur,Sunayna eye Hospital,"Ben Franklin Opticians, Sunayna eye Hospital, Bela Mode Muzaffarpur Bihar - 842002 Mob - 9154794411",842002,9154794411,DTDC
555,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
726,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
1029,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
722,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
1367,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
1270,BIHAR,Patna,Vedanta Center,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
998,Bihar,Patna,Drishtikunj Netralaya - Patna,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
1384,Bihar,Patna,Netravedam Eye Hospital - Bihar,"Ben franklin opticians, Vedanta Center for Opthalmic Sciences, 2nd Floor, Legend Plaza, Ashiana Digha Road, Patna Bihar - 800014 Mob:- 9100945036 / 7070094828 (BULK)",800014,9100945036,Verma
997,BIHAR,Purnia,Kamal Nayan Netralaya,"Ben franklin opticians, Kamal Nayan Netralaya, NH 31, Ward No: 42, Madhopara, Purnia, Bihar - 854301. Mobile : +91 - 8121029904",854301,8121029904,DTDC
644,BIHAR,SAHARSA,Punarjyoti Netralaya - Saharsa,"Ben Franklin opticians, Punarjyoti Netralaya, C/O Surya Hospital, Gandhi Path, Saharsa, Bihar - 852201, +91 - 9121157666",852201,9121157666,DTDC
867,Chhattisgarh,Ambikapur,Saroj Agrawal - Ambikapur,"ben franklin opticians, Mrs Saroj Agrawal, Khasra No 3196/4822, Shop No. 11 to 16, District Hospital Road, In Front of Rani Talab, Beside kothi Ghar, Ambikapur, Chhattisgarh.",,,Bluedart
584,Chhattisgarh,Ambikapur,Vision Eye Care - Ambikapur,"ben franklin opticians, Vision Eye Care & Surgical Centre, Near Maruti Showroom, M. G. Road, Ambikapur, Chhattisgarh.",,,Bluedart
382,Chhattisgarh,Bhilai,Balaji Netrayala - Bhilai,"Ben Franklin Opticians, 6 A Old Nehru Nagar Market, Nehru Nagar east, Bhilai, Durg, Chhatisgarh.",,,Bluedart
1286,Chhattisgarh,Bilaspur,Juneja Superspeciality Eye Hospital - Bilaspur,"ben franklin opticians, Juneja Superspeciality Eye Hospital, 3rd Floor, Above Apollo City Centre, Vidya Nagar, Bilaspur, Chhattisgarh, India",,,Bluedart
1191,Chhattisgarh,Bilaspur,Shanker Medicose - Bilaspur,"ben franklin opticians, Shanker Medicose, Ward No.13, Block No.5, Kh No. 635/33, Sharda Nagar Mohalla, Juna Bilaspur Link Road, Near Sankalp Eye Hospital, Bilaspur, Chhattisgarh, India",,,Bluedart
278,Chhattisgarh,Chikitshalay,Raipur Netra Chikitshalay,"Ben Franklin Opticians, Raipur Netra Chikitshalay, Nayapara, Phool Chowk, Raipur, Chattisgarh, India.",,,Bluedart
476,Chhattisgarh,Korba,Dani Eye Hospital - Korba,"ben franklin opticians, Dani Eye Hospital, HIG - 24, M P Nagar, Korba, Chhattisgarh.",,,Bluedart
1070,Chhattisgarh,Korba,Dani Eye Hospital Transport Nagar - Korba,"ben franklin opticians, Dani Eye Hospital, Near New Bus Stand, Transport Nagar, Korba, Chhattisgarh, India",,,Bluedart
1159,Chhattisgarh,Manendragarh,Anaya Opticals - Manendragarh,"ben franklin opticians, Anaya Opticals, C/o Shree Ram Hospital And Eye Care Center, Ring Road, Manendragarh, Koriya(Dist), Chhattisgarh, India",,,Bluedart
914,Chhattisgarh,Raipur,Madanlal Mohanlal Partani - Raipur,"ben franklin opticians, Madanlal Mohanlal Partani, Above Laxmi Medical hall, HIG 28, Main Road, Shankar Nagar, Raipur, Chhattisgarh",,,Bluedart
904,Chhattisgarh,Raipur,Mrs Meena Jain - Raipur,"ben franklin opticians, Arihant Netralaya, CSEB Office Square, Budhapara, Raipur, Chhattisgarh",,,Bluedart
1276,Delhi,Delhi,Aura Adult And Child Eye Care - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
428,Delhi,Delhi,Bharti Eye Hospital - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
969,Delhi,Delhi,Bharti Eye Hospital 2 - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
1335,Delhi,Delhi,Claritas Eye And Retina Institute - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
340,Delhi,Delhi,Drishti Eye Laser Centre,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
1271,Delhi,Delhi,Esskay Eye Centre - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
966,Delhi,Delhi,Goyal Eye Centre - New Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
507,Delhi,Delhi,Goyal Eye Institute - Delhi,"Ben franklin, 85A, B5 Market, Himayunpur, Safdarjung Enclave, New Delhi - 110029. Phone : 01141506462, DELHI, 110074 - Mob - 8851529118 (BULK)",110029,8851529118,Delivery Boy
